band, channel, owanova_F, owanova_p, kruskal_F, kruskal_p
delta, Fp1, 0.09822698752943695, 0.7539798783688095, 0.028298764240389573, 0.8664083465766954
delta, Fpz, 0.1389976907441141, 0.7092941050257922, 0.028234299045997398, 0.8665591673535695
delta, Fp2, 0.4822978031522247, 0.48741320037430036, 0.5529897229344813, 0.4570986616674617
delta, AF7, 0.6956588767309589, 0.40428309634546533, 0.015611693102982827, 0.90056569842633
delta, AF3, 0.26232441722393857, 0.608548657977656, 0.8769169057224951, 0.34904750678770535
delta, AF4, 1.746650427205509, 0.1863543211361188, 1.5008540684557472, 0.2205399962971444
delta, AF8, 0.1202438336432774, 0.7287836843045927, 0.7679789117647197, 0.38084301922460406
delta, F7, 0.7100061786734814, 0.3994790513827804, 0.4606599983457918, 0.4973156835410819
delta, F5, 0.03956185650512414, 0.8423471807903509, 0.12739439964934718, 0.7211490608817629
delta, F3, 0.1495824895756473, 0.6989498942023866, 0.009844988476500723, 0.9209620748211997
delta, F1, 2.0755290153302552, 0.1497359697782434, 2.3642936224157203, 0.12414009395527462
delta, Fz, 0.3377213759309605, 0.5611716851051662, 0.003867074472803279, 0.950414865752009
delta, F2, 0.9659163388176378, 0.32574474626418515, 0.008029944149107269, 0.9285971727849636
delta, F4, 1.9741051160617995, 0.16007028024470987, 1.7450283998119613, 0.18650295443307374
delta, F6, 0.45411101575636276, 0.5004179578827228, 0.13064971532086103, 0.717759340766451
delta, F8, 0.02768953349825151, 0.8678470432277319, 1.0778151919012244, 0.29918682707603306
delta, FT7, 0.5983179265241032, 0.43925436801977435, 0.0957038831183968, 0.7570473580988871
delta, FC5, 0.08076208263037074, 0.7762781924620219, 1.5066032132750038, 0.21965813841746037
delta, FC3, 0.06788346673094194, 0.7944536764130844, 0.020075229336431712, 0.8873271786994603
delta, FC1, 0.5484550715959717, 0.45898181428203355, 0.1564563587835437, 0.6924402409102848
delta, FCz, 0.432869265343264, 0.5106124161930327, 0.11884623256069095, 0.7302892277324473
delta, FC2, 0.35603603529311406, 0.550740999894702, 0.026083406199501582, 0.8716967923137859
delta, FC4, 7.158274804330863, 0.0074843866208791215, 6.253216612823154, 0.012396798973084757
delta, FC6, 0.7995986765435422, 0.37125320810981577, 0.03051300459198875, 0.8613313038234801
delta, FT8, 1.118010201458479, 0.2903945758623559, 3.3323111355015826, 0.06793135615918758
delta, T7, 0.03876455873678165, 0.8439232360660716, 0.873786081243894, 0.3499092893569379
delta, C5, 0.6276800889477626, 0.4282423281405986, 0.503746884456695, 0.4778583840031526
delta, C3, 0.0053479278237970815, 0.9417057513039214, 0.0005701301124645397, 0.9809504033063415
delta, C1, 2.9725341625172637, 0.08474628281602709, 1.0635861693015822, 0.3023986856998121
delta, Cz, 1.2417022874503836, 0.26519278975972854, 0.9508790172632106, 0.3294956519306065
delta, C2, 0.9182483761057894, 0.3379781803691718, 0.5932662465409272, 0.44115885360788876
delta, C4, 1.2086453638372712, 0.27164954408089365, 1.3472717973163526, 0.24575563169238784
delta, C6, 0.5701713507537435, 0.45022374111255903, 2.6748224437149144, 0.10194669566462432
delta, T8, 0.0033160785378353714, 0.9540810068363349, 0.01874717330247222, 0.8910937791608763
delta, TP7, 0.6680473392406411, 0.4137692553965341, 1.6132951103670445, 0.2040292290361871
delta, CP5, 0.18653658074125853, 0.6658321918250212, 0.08189910393306457, 0.7747401118885776
delta, CP3, 0.7245427856687494, 0.3946955393486675, 1.0799513608546383, 0.2987084371569122
delta, CP1, 2.268331258302296, 0.13210045934465567, 3.2276771715867434, 0.07240331780566263
delta, CPz, 5.280653581625129, 0.021601666478237528, 5.574504658455719, 0.018223819208297166
delta, CP2, 4.964715518879383, 0.025910564217280996, 7.019215733501457, 0.008063954331964567
delta, CP4, 3.6206969920306573, 0.05711805773676209, 5.396534368976681, 0.02017677794337705
delta, CP6, 1.884821336483509, 0.1698441476299131, 6.38420900935102, 0.011514006103385304
